2011,1,10,1000000
2011,1,11,174991
2011,1,12,177153
2011,1,13,176821
2011,1,14,176481
2011,1,18,172516
2011,1,19,171599
2011,1,20,168480
2011,1,21,165461
2011,1,24,170895
2011,1,25,172896
2011,1,26,174137
2011,1,27,236668
2011,1,28,232367
2011,1,31,235327
2011,2,1,240761
2011,2,2,240008
2011,2,3,-972829
2011,2,4,-973054
2011,2,7,-976395
2011,2,8,-983245
2011,2,9,-978350
2011,2,10,-979550
2011,2,11,246232
2011,2,14,249066
2011,2,15,247896
2011,2,16,250101
2011,2,17,247805
2011,2,18,244376
2011,2,22,239068
2011,2,23,242388
2011,2,24,241649
2011,2,25,243825
2011,2,28,246533
2011,3,1,243980
2011,3,2,245625
2011,3,3,249978
2011,3,4,82042
2011,3,7,80985
2011,3,8,81076
2011,3,9,80326
2011,3,10,79004
2011,3,11,80217
2011,3,14,80574
2011,3,15,78722
2011,3,16,75207
2011,3,17,76263
2011,3,18,75358
2011,3,21,77325
2011,3,22,77758
2011,3,23,77299
2011,3,24,78617
2011,3,25,80114
2011,3,28,79863
2011,3,29,79982
2011,3,30,79451
2011,3,31,79423
2011,4,1,78523
2011,4,4,77755
2011,4,5,77231
2011,4,6,77037
2011,4,7,77047
2011,4,8,76358
2011,4,11,75387
2011,4,12,75752
2011,4,13,76602
2011,4,14,75757
2011,4,15,74626
2011,4,18,75627
2011,4,19,76996
2011,4,20,78033
2011,4,21,79923
2011,4,25,80449
2011,4,26,79859
2011,4,27,79797
2011,4,28,79022
2011,4,29,79793
2011,5,2,78915
2011,5,3,79353
2011,5,4,-66388
2011,5,5,-65852
2011,5,6,-65835
2011,5,9,-66013
2011,5,10,-66365
2011,5,11,-65943
2011,5,12,-65818
2011,5,13,-64665
2011,5,16,-63298
2011,5,17,-63837
2011,5,18,-64545
2011,5,19,-64671
2011,5,20,-63662
2011,5,23,-63507
2011,5,24,-63087
2011,5,25,-63959
2011,5,26,-63620
2011,5,27,-64078
2011,5,31,-66057
2011,6,1,-65616
2011,6,2,-65729
2011,6,3,-65223
2011,6,6,0
2011,6,7,0
2011,6,8,0
2011,6,9,0
2011,6,10,0
2011,6,13,156407
2011,6,14,157318
2011,6,15,155602
2011,6,16,155928
2011,6,17,157624
2011,6,20,158180
2011,6,21,159331
2011,6,22,158813
2011,6,23,159235
2011,6,24,158228
2011,6,27,160673
2011,6,28,162964
2011,6,29,163472
2011,6,30,164440
2011,7,1,167306
2011,7,5,168159
2011,7,6,170344
2011,7,7,169165
2011,7,8,169175
2011,7,11,167737
2011,7,12,166836
2011,7,13,167095
2011,7,14,167009
2011,7,15,168264
2011,7,18,168015
2011,7,19,177534
2011,7,20,176038
2011,7,21,177236
2011,7,22,177505
2011,7,25,176086
2011,7,26,175348
2011,7,27,173834
2011,7,28,174265
2011,7,29,174313
2011,8,1,173258
2011,8,2,170670
2011,8,3,171418
2011,8,4,164373
2011,8,5,165810
2011,8,8,160024
2011,8,9,164251
2011,8,10,156482
2011,8,11,160515
2011,8,12,161931
2011,8,15,166542
2011,8,16,164857
2011,8,17,165088
2011,8,18,157724
2011,8,19,151668
2011,8,22,153054
2011,8,23,158195
2011,8,24,160544
2011,8,25,159408
2011,8,26,162836
2011,8,29,166186
2011,8,30,166080
2011,8,31,165502
2011,9,1,163981
2011,9,2,160756
2011,9,6,158956
2011,9,7,161074
2011,9,8,159091
2011,9,9,155355
2011,9,12,156366
2011,9,13,157338
2011,9,14,161006
2011,9,15,163750
2011,9,16,166542
2011,9,19,166677
2011,9,20,168208
2011,9,21,166571
2011,9,22,162335
2011,9,23,163028
2011,9,26,168005
2011,9,27,171086
2011,9,28,170932
2011,9,29,172492
2011,9,30,168352
2011,10,3,166831
2011,10,4,168227
2011,10,5,170258
2011,10,6,174918
2011,10,7,175592
2011,10,10,179664
2011,10,11,178104
2011,10,12,179183
2011,10,13,179857
2011,10,14,183428
2011,10,17,179635
2011,10,18,172232
2011,10,19,170778
2011,10,20,170643
2011,10,21,174860
2011,10,24,175457
2011,10,25,173637
2011,10,26,175187
2011,10,27,178952
2011,10,28,180463
2011,10,31,177748
2011,11,1,174590
2011,11,2,177065
2011,11,3,180319
2011,11,4,179433
2011,11,7,180338
2011,11,8,180995
2011,11,9,176153
2011,11,10,177226
2011,11,11,181121
2011,11,14,181092
2011,11,15,182445
2011,11,16,180386
2011,11,17,179526
2011,11,18,179052
2011,11,21,175418
2011,11,22,175254
2011,11,23,172006
2011,11,25,171146
2011,11,28,176124
2011,11,29,174896
2011,11,30,181720
2011,12,1,183122
2011,12,2,183325
2011,12,5,184465
2011,12,6,186495
2011,12,7,187568
2011,12,8,185181
2011,12,9,188061
2011,12,12,185761
2011,12,13,184765
2011,12,14,182416
2011,12,15,181218
2011,12,16,177438
2011,12,19,176781
2011,12,20,180986
